DirPath,File,Method,PyPDF2_Score,OCR_Score,Final_Score,Output_Path
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/ترمیم پری سرویکال رینگ,ترمیم پری سرویکال رینگ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/ترمیم پری سرویکال رینگ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/TAVI شناسنامه و استاندارد خدمت,نامه ابلاغ TAVI.pdf,"PyPDF2 (better, OCR worse)",0.5229,0.4978,0.5229,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ TAVI.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/TAVI شناسنامه و استاندارد خدمت,TAVI شناسنامه و استاندارد خدمت.pdf,PyPDF2 (no OCR),0.7953,0.0,0.7953,/content/drive/MyDrive/Base Model Farsi/Output Texts/TAVI شناسنامه و استاندارد خدمت.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی استاندارد,Home_visit_for_infant_261074.pdf,PyPDF2 (no OCR),0.7472,0.0,0.7472,/content/drive/MyDrive/Base Model Farsi/Output Texts/Home_visit_for_infant_261074.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی استاندارد,Home_visit_for_mother_261075.pdf,PyPDF2 (no OCR),0.7518,0.0,0.7518,/content/drive/MyDrive/Base Model Farsi/Output Texts/Home_visit_for_mother_261075.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی استاندارد,Preconception_care_261071.pdf,PyPDF2 (no OCR),0.7295,0.0,0.7295,/content/drive/MyDrive/Base Model Farsi/Output Texts/Preconception_care_261071.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی استاندارد,Early_postpartum_health_care_261070.pdf,PyPDF2 (no OCR),0.7473,0.0,0.7473,/content/drive/MyDrive/Base Model Farsi/Output Texts/Early_postpartum_health_care_261070.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اشباع همراه با سدیم پتاسیم,استاندارد آزمایش گازهای خوني 801082.pdf,PyPDF2 (no OCR),0.7859,0.0,0.7859,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد آزمایش گازهای خوني 801082.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اشباع همراه با سدیم پتاسیم,ABGنامه.pdf,PyPDF2 (no OCR),0.785,0.0,0.785,/content/drive/MyDrive/Base Model Farsi/Output Texts/ABGنامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/لیزر کم توان,نسخه دوم استاندارد لیزر کم توان 99.pdf,PyPDF2 (no OCR),0.7887,0.0,0.7887,/content/drive/MyDrive/Base Model Farsi/Output Texts/نسخه دوم استاندارد لیزر کم توان 99.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی,نامه مامایی.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه مامایی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مامایی,فایل مامایی.pdf,PyPDF2 (no OCR),0.7867,0.0,0.7867,/content/drive/MyDrive/Base Model Farsi/Output Texts/فایل مامایی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/روده بزرگ فایل,تشخیص سرطان روده.pdf,PyPDF2 (no OCR),0.7905,0.0,0.7905,/content/drive/MyDrive/Base Model Farsi/Output Texts/تشخیص سرطان روده.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/قلب و عروق_1,heart.pdf,"PyPDF2 (better, OCR worse)",0.0722,0.0,0.0722,/content/drive/MyDrive/Base Model Farsi/Output Texts/heart.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه و استاندارد خدمت درمان آمبولی گازی با اکسیژن پرفشار.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان آمبولی گازی با اکسیژن پرفشار.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه و استاندارد خدمت درمان فلاپ و گرافت مشکل دار با اکسیژن هایپربار .pdf,OCR (better),0.4486,0.7728,0.7728,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان فلاپ و گرافت مشکل دار با اکسیژن هایپربار .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه و استاندارد خدمت درمان با اکسیژن هایپربار در زخم پای دیابتی.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان با اکسیژن هایپربار در زخم پای دیابتی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه_و_استاندارد_خدمت_درمان استئو میلیت مزمن.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه_و_استاندارد_خدمت_درمان استئو میلیت مزمن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه_و_استاندارد_خدمت_درمان مسمومیت با مونوکسید کربن.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه_و_استاندارد_خدمت_درمان مسمومیت با مونوکسید کربن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,طب هوا و فضا.pdf,"PyPDF2 (better, OCR worse)",0.5021,0.4842,0.5021,/content/drive/MyDrive/Base Model Farsi/Output Texts/طب هوا و فضا.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حجامت خشک,نامه طب ایرانی.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه طب ایرانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حجامت خشک,حجامت خشک.pdf,PyPDF2 (no OCR),0.7854,0.0,0.7854,/content/drive/MyDrive/Base Model Farsi/Output Texts/حجامت خشک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/بانک شیر_1,نامه بانک شیر.pdf,PyPDF2 (no OCR),0.7847,0.0,0.7847,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه بانک شیر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/بانک شیر_1,شناسنامه بانک  شیر.pdf,PyPDF2 (no OCR),0.7766,0.0,0.7766,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه بانک  شیر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سرطان,استاندارد سرطان.pdf,PyPDF2 (no OCR),0.7904,0.0,0.7904,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد سرطان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سرطان,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/برونکوسکوپی جهت تخریب تومور_1,برونکوسکوپی جهت تخریب تومور .pdf,OCR (better),0.3632,0.5791,0.5791,/content/drive/MyDrive/Base Model Farsi/Output Texts/برونکوسکوپی جهت تخریب تومور .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات هوا فضا,شناسنامه استاندارد درمان بیماری برداشت فشار با اکسیژن هایپربار.pdf,OCR (better),0.5071,0.7723,0.7723,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه استاندارد درمان بیماری برداشت فشار با اکسیژن هایپربار.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/EB استاندارد,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/EB استاندارد,استاندارد EB.pdf,PyPDF2 (no OCR),0.7856,0.0,0.7856,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد EB.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مشاوره,نامه.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مشاوره,901980-مشاوره گروهی.pdf,PyPDF2 (no OCR),0.7981,0.0,0.7981,/content/drive/MyDrive/Base Model Farsi/Output Texts/901980-مشاوره گروهی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مشاوره,901975-مشاوره فردی.pdf,PyPDF2 (no OCR),0.7949,0.0,0.7949,/content/drive/MyDrive/Base Model Farsi/Output Texts/901975-مشاوره فردی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/واژینوپلاستی برای دوجنسی,واژینوپلاستی.pdf,PyPDF2 (no OCR),0.6597,0.0,0.6597,/content/drive/MyDrive/Base Model Farsi/Output Texts/واژینوپلاستی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آندوسکوپی بینی,آندوسکوپی بینی (نامه).pdf,"PyPDF2 (better, OCR worse)",0.5226,0.5059,0.5226,/content/drive/MyDrive/Base Model Farsi/Output Texts/آندوسکوپی بینی (نامه).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/پونکسیون مایع نخاعی کودکان و نوزادان,پونکسیون مایع نخاعی کودکان و نوزادان.pdf,OCR (better),0.5887,0.6493,0.6493,/content/drive/MyDrive/Base Model Farsi/Output Texts/پونکسیون مایع نخاعی کودکان و نوزادان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/ترمیم کمپارتمان قدامی,ترمیم کمپارتمان قدامی .pdf,PyPDF2 (no OCR),0.722,0.0,0.722,/content/drive/MyDrive/Base Model Farsi/Output Texts/ترمیم کمپارتمان قدامی .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه ویزیت جامع,شناسنامه ویزیت جامع.pdf,PyPDF2 (no OCR),0.7919,0.0,0.7919,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه ویزیت جامع.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آندوسکوپی بینی,آندوسکوپی بینی.pdf,"PyPDF2 (better, OCR worse)",0.5807,0.5612,0.5807,/content/drive/MyDrive/Base Model Farsi/Output Texts/آندوسکوپی بینی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه و استاندارد همزمانی جراحی کاتاراکت,نامه ابلاغ همزمانی جراحی کاتاراکت.pdf,"PyPDF2 (better, OCR worse)",0.5236,0.5015,0.5236,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ همزمانی جراحی کاتاراکت.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه و استاندارد همزمانی جراحی کاتاراکت,همزمانی جراحی کاتاراکت.pdf,PyPDF2 (no OCR),0.7921,0.0,0.7921,/content/drive/MyDrive/Base Model Farsi/Output Texts/همزمانی جراحی کاتاراکت.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/TBNA,TBNA.pdf,OCR (better),0.067,0.5654,0.5654,/content/drive/MyDrive/Base Model Farsi/Output Texts/TBNA.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سمعک,شناسنامه سمعک .pdf,PyPDF2 (no OCR),0.7876,0.0,0.7876,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه سمعک .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/ترمیم پاراواژثینال از راه شکم و روش جراحی شکمی اصلاح  بی اختیاری استرسی ادرار,یورتروپکسی رتروپوبیک برچ.pdf,PyPDF2 (no OCR),0.7426,0.0,0.7426,/content/drive/MyDrive/Base Model Farsi/Output Texts/یورتروپکسی رتروپوبیک برچ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/صفاقی بزرگسال_1,دیالیز صفاقی بزرگسال.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/دیالیز صفاقی بزرگسال.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/COPD,COPD.pdf,PyPDF2 (no OCR),0.7869,0.0,0.7869,/content/drive/MyDrive/Base Model Farsi/Output Texts/COPD.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فصد,نامه طب ایرانی.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه طب ایرانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/صفاقی بزرگسال_1,دیالیز صفاقی بزرگسال1.pdf,PyPDF2 (no OCR),0.7909,0.0,0.7909,/content/drive/MyDrive/Base Model Farsi/Output Texts/دیالیز صفاقی بزرگسال1.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تغذیه در کبد چرب,تغذیه در کبد چرب.pdf,PyPDF2 (no OCR),0.7865,0.0,0.7865,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه در کبد چرب.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فصد,فصد.pdf,OCR (better),0.0,0.76,0.76,/content/drive/MyDrive/Base Model Farsi/Output Texts/فصد.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,802705.pdf,OCR (better),0.4098,0.7535,0.7535,/content/drive/MyDrive/Base Model Farsi/Output Texts/802705.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,802700.pdf,OCR (better),0.295,0.7598,0.7598,/content/drive/MyDrive/Base Model Farsi/Output Texts/802700.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,302815.pdf,OCR (better),0.5721,0.7795,0.7795,/content/drive/MyDrive/Base Model Farsi/Output Texts/302815.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,802710.pdf,OCR (better),0.4958,0.7687,0.7687,/content/drive/MyDrive/Base Model Farsi/Output Texts/802710.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,38241.pdf,OCR (better),0.0,0.6564,0.6564,/content/drive/MyDrive/Base Model Farsi/Output Texts/38241.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کاپنو,کاپنو.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/کاپنو.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کاپنو,کاپنوگرافی.pdf,PyPDF2 (no OCR),0.7379,0.0,0.7379,/content/drive/MyDrive/Base Model Farsi/Output Texts/کاپنوگرافی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه استاندارد درمان بیماری برداشت فشار با اکسیژن هایپربار_1,شناسنامه استاندارد درمان بیماری برداشت فشار با اکسیژن هایپربار.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه استاندارد درمان بیماری برداشت فشار با اکسیژن هایپربار.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/Hydrocelectomy1,Hydrocelectomy1.pdf,PyPDF2 (no OCR),0.6913,0.0,0.6913,/content/drive/MyDrive/Base Model Farsi/Output Texts/Hydrocelectomy1.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فتوتراپی نوزادان مبتلا به زردی,استاندارد فتوتراپی در منزل نهایی (2).pdf,PyPDF2 (no OCR),0.7816,0.0,0.7816,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد فتوتراپی در منزل نهایی (2).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/خدمات سلول درمانی,خدمات سلول درمانی.pdf,PyPDF2 (no OCR),0.7543,0.0,0.7543,/content/drive/MyDrive/Base Model Farsi/Output Texts/خدمات سلول درمانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اضافه بار آهن_1,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اضافه بار آهن_1,اضافه بار آهن.pdf,PyPDF2 (no OCR),0.7858,0.0,0.7858,/content/drive/MyDrive/Base Model Farsi/Output Texts/اضافه بار آهن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/براکی تراپی,براکی تراپی 1 اسفند.pdf,PyPDF2 (no OCR),0.7886,0.0,0.7886,/content/drive/MyDrive/Base Model Farsi/Output Texts/براکی تراپی 1 اسفند.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/براکی تراپی,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلول های بنیادی خون ساز,38240.pdf,OCR (better),0.0,0.701,0.701,/content/drive/MyDrive/Base Model Farsi/Output Texts/38240.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آزمایش گازهای خونیBlood gas,استاندارد آزمایش گازهای خوني 801080.pdf,PyPDF2 (no OCR),0.7581,0.0,0.7581,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد آزمایش گازهای خوني 801080.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آزمایش گازهای خونیBlood gas,ABGنامه.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/ABGنامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد کاتتر شریان نافی نوزاد,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد کاتتر شریان نافی نوزاد,استاندارد کاتتر شریان نافی نوزاد.pdf,PyPDF2 (no OCR),0.7727,0.0,0.7727,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد کاتتر شریان نافی نوزاد.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/SOP Gated MPI,SOP Gated MPI .pdf,OCR (better),0.0,0.7734,0.7734,/content/drive/MyDrive/Base Model Farsi/Output Texts/SOP Gated MPI .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مگنت تراپی,بازنگری استاندارد مگنت تراپی 99.pdf,PyPDF2 (no OCR),0.7693,0.0,0.7693,/content/drive/MyDrive/Base Model Farsi/Output Texts/بازنگری استاندارد مگنت تراپی 99.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آزمایش ناهنجاری جنین,نامه ابلاغ (آزمایش ناهنجاری جنین).pdf,"PyPDF2 (better, OCR worse)",0.5238,0.5086,0.5238,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ (آزمایش ناهنجاری جنین).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/برونکوسکوپی و بیوپسی از برنش,برونکوسکوپی و بیوپسی از برنش.pdf,OCR (better),0.0,0.57,0.57,/content/drive/MyDrive/Base Model Farsi/Output Texts/برونکوسکوپی و بیوپسی از برنش.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آزمایش ناهنجاری جنین,ناهنجاری جنین.pdf,PyPDF2 (no OCR),0.7834,0.0,0.7834,/content/drive/MyDrive/Base Model Farsi/Output Texts/ناهنجاری جنین.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سنجش استخوان,استاندارد خدمت دانسیتومتری .pdf,PyPDF2 (no OCR),0.7875,0.0,0.7875,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد خدمت دانسیتومتری .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سنجش استخوان,نامه تراکم استخوان.pdf,PyPDF2 (no OCR),0.7847,0.0,0.7847,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه تراکم استخوان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه ویزیت محدود اورژانس,شناسنامه ویزیت محدود اورژانس.pdf,PyPDF2 (no OCR),0.793,0.0,0.793,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه ویزیت محدود اورژانس.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اکوکاردیوگرافی از راه مری_1,اکوکاردیوگرافی از راه مری.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/اکوکاردیوگرافی از راه مری.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اکو,اکو مادرزادی.pdf,PyPDF2 (no OCR),0.7874,0.0,0.7874,/content/drive/MyDrive/Base Model Farsi/Output Texts/اکو مادرزادی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اکو,نهایی جهت ابلاغ.pdf,PyPDF2 (no OCR),0.785,0.0,0.785,/content/drive/MyDrive/Base Model Farsi/Output Texts/نهایی جهت ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شاک ویو,بازنگری استاندارد شاک ویو 99.pdf,PyPDF2 (no OCR),0.7575,0.0,0.7575,/content/drive/MyDrive/Base Model Farsi/Output Texts/بازنگری استاندارد شاک ویو 99.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیت عینک,نامه ابلاغ فیت عینک.pdf,"PyPDF2 (better, OCR worse)",0.5221,0.5084,0.5221,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ فیت عینک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیت عینک,فیت عینک 30 مرد.pdf,PyPDF2 (no OCR),0.7897,0.0,0.7897,/content/drive/MyDrive/Base Model Farsi/Output Texts/فیت عینک 30 مرد.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استرس اکو_1,استاندارد استرس اکو.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد استرس اکو.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/Urethrotomy,Urethrotomy.pdf,PyPDF2 (no OCR),0.6704,0.0,0.6704,/content/drive/MyDrive/Base Model Farsi/Output Texts/Urethrotomy.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تغذیه,نامه ابلاغ تغذیه.pdf,"PyPDF2 (better, OCR worse)",0.529,0.4954,0.529,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ تغذیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تغذیه,تغذیه دربیماران بستری مبتلا به آسم.pdf,PyPDF2 (no OCR),0.7907,0.0,0.7907,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه دربیماران بستری مبتلا به آسم.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تغذیه,تغذیه در بیماران بستری مبتلا به پنومونی.pdf,PyPDF2 (no OCR),0.7943,0.0,0.7943,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه در بیماران بستری مبتلا به پنومونی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تغذیه,تغذیه در بیماران بستری مبتلا به سل.pdf,PyPDF2 (no OCR),0.7895,0.0,0.7895,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه در بیماران بستری مبتلا به سل.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/بازتوانی سکته مغزی,شناسنامه توانبخشی سکته مغزی .pdf,PyPDF2 (no OCR),0.7862,0.0,0.7862,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه توانبخشی سکته مغزی .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/ترمیم انتروسل از راه واژن,ترمیم انتروسل از راه واژن.pdf,OCR (better),0.5984,0.7481,0.7481,/content/drive/MyDrive/Base Model Farsi/Output Texts/ترمیم انتروسل از راه واژن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حجامت,نامه طب ایرانی.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه طب ایرانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حجامت,حجامت- .pdf,PyPDF2 (no OCR),0.7856,0.0,0.7856,/content/drive/MyDrive/Base Model Farsi/Output Texts/حجامت- .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حاملگی,حاملگی.pdf,OCR (better),0.0,0.5836,0.5836,/content/drive/MyDrive/Base Model Farsi/Output Texts/حاملگی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/PKU,PKU  .pdf,PyPDF2 (no OCR),0.7968,0.0,0.7968,/content/drive/MyDrive/Base Model Farsi/Output Texts/PKU  .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/sacrocolpopexy or hysteropexy,sacrocolpopexy or hysteropexy.pdf,OCR (better),0.3227,0.7486,0.7486,/content/drive/MyDrive/Base Model Farsi/Output Texts/sacrocolpopexy or hysteropexy.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه و استاندارد خدمت درمان فلاپ و گرافت مشکل دار با اکسیژن هایپربار_1,شناسنامه و استاندارد خدمت درمان فلاپ و گرافت مشکل دار با اکسیژن هایپربار .pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان فلاپ و گرافت مشکل دار با اکسیژن هایپربار .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/VNS,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فتوتراپی شدید,فتوتراپی شدید.pdf,OCR (better),0.5881,0.6941,0.6941,/content/drive/MyDrive/Base Model Farsi/Output Texts/فتوتراپی شدید.txt
